name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Williemae Casper; 57;520904;Hotel Operations;Career & Tech Ed;Business Education;Hospitality & Tourism;Associate Degrees;2004
Cyntha Bahringer; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2004
Geary Green;489;520201;Business Admin & Mgmt, General;College of Business Admin;Business Administration;Business Administration;Doctoral Degrees;2004
Adela Ratke;489;520201;Business Admin & Mgmt, General;College of Business Admin;Business Administration;Business Administration;Doctoral Degrees;2004
Tana Gerhold;175;161200;Lang&Lit/Europe&Amer-Classics;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2004
Ms. Chanel Stamm; 37;500701;Art;College of Arts & Sciences;Arts & Humanities;Art;Master's Degrees;2004
Dr. Kimberely Pagac;247;521101;International Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2004
Presley Runolfsson;396; 50103;Asian Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Asian Studies;Bachelor's Degrees;2004
Abram Schowalter IV;237;260102;Biomedical Science;School of Medicine;School of Medicine;Biomedical Sciences;Master's Degrees;2004
Keena Hammes DVM;494;301801;Natural Science;General & Pre-Prof Ed;Natural Sciences;Natural Science;Certs of Achievement;2004
Gael Von; 77;510808;Vet/Animal Hlth Tech &Vet Asst;Career & Tech Ed;Health Services;Veterinary Assisting;Certs of Achievement;2004
Wood Muller;271;470608;Aircraft Powerplant Technology;Career & Tech Ed;Technology;Aeronautics Maint Tech;Associate Degrees;2004
Wilmer Stracke;120;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2004
Mrs. Ivory Tromp;189;309999;Interdisciplinary Studies;Professional Studies Division;Applied Science;Respiratory Care;Bachelor's Degrees;2004
Ruel Wehner;401;220202;Programs for Foreign Lawyers;School of Law;School of Law;Master in Law;Master's Degrees;2004
Jordyn Rowe;346;131101;Counseling & Guidance;College of Education;Education;Kinesiology & Rehab Sci;Master's Degrees;2004
Jensen Volkman PhD;273;450101;Social Sciences;Social Sciences Division;Social Science;Anthropology;Bachelor's Degrees;2004
Gabriela Bergnaum;345;131501;Teacher Assistant/Aide;Career & Tech Ed;Public Services;Educational Paraprofessional;Associate Degrees;2004
Stephen Herzog;463; 11101;Plant Sciences, General;Career & Tech Ed;Technology;Plant Bioscience;Associate Degrees;2004
Normand Oberbrunner-Adams;411;500501;Drama & Theatre;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2004
Arley Runte;317;422806;Educational Psychology;College of Education;Education;Educational Psychology;Master's Degrees;2004
Goldie Jaskolski;379;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Doctoral Degrees;2004
Viva Moen;209;240103;Humanities;Humanities Division;Humanities;English;Bachelor's Degrees;2004
Lavon Abshire-Kunde;156; 50299;Ethnic & Cult Studies, Oth;College of Arts & Sciences;Social Sciences;Ethnic Studies;Bachelor's Degrees;2004
Cherish Reilly;480;303301;Sustainability Studies;Career & Tech Ed;Technology;Sustainable Science Management;Bachelor's Degrees;2004
Kristin Sawayn-Abshire;123;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Associate Degrees;2004
Felisha Bergnaum;442;130401;Educational Administration;College of Education;Education;Ed Foundations;Other;2004
Ahmad Wunsch;341;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Doctoral Degrees;2004
Darwyn Borer I;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2004
Chloe Glover-Boyle;239;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Associate Degrees;2004
Dr. Israel Leffler DDS;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2004
Juliana Koss;185; 11103;Horticulture;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Tropical Plant & Soil Sci;Doctoral Degrees;2004
Caldonia Crona-Anderson;326;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Associate Degrees;2004
Noah Kessler;169;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Master's Degrees;2004
Maura Nitzsche DDS;104;380101;Philosophy;College of Arts & Sciences;Arts & Humanities;Philosophy;Bachelor's Degrees;2004
Mr. Kolten Little V;436;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Certs of Achievement;2004
Alexander Kuhic;225;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2004
Bethzy Muller; 71;521401;Marketing;Career & Tech Ed;Business Education;Marketing;Associate Degrees;2004
Burrell Sauer;386; 40301;Urban & Regional Planning Prog;College of Arts & Sciences;Social Sciences;Urban & Reg Planning;Doctoral Degrees;2004
Mrs. Beatrice Davis DDS;443;110801;Digital Media, Web Page Design;Career & Tech Ed;Technology;Digital Media Production;Associate Degrees;2004
Romie Ondricka V;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2004
Hilliard Adams;232;380201;Religion;College of Arts & Sciences;Arts & Humanities;Religion;Master's Degrees;2004
Chelsie Senger;176;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Certs of Achievement;2004
Mrs. Asia Price;147;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology Program;Bachelor's Degrees;2004
Kai Huel PhD;  1;513801;Registered Nursing/Reg Nurse;Career & Tech Ed;Health Services;Nursing;Associate Degrees;2004
Yetta Fadel; 49;521201;Business Computer Info Sys;College of Business Admin;Business Administration;Management Information Systems;Bachelor's Degrees;2004
Mr. Baron Mosciski Jr.;401;220202;Programs for Foreign Lawyers;School of Law;School of Law;Master in Law;Master's Degrees;2004
Wilbert Corkery;427; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Certs of Achievement;2004
Angele Langosh;290;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Doctoral Degrees;2004
Antonio Fahey;142;261201;Biotechnology;Career & Tech Ed;Health Services;Biotechnician;Certs of Achievement;2004
Luciana Purdy;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2004
Justine Gaylord;225;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2004
Cinda Prosacco PhD;287;422803;Counseling Psychology;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2004
Margery Kuhlman; 76;450901;International Relations;College of Arts & Sciences;Arts & Humanities;China-U.S. Relations;Master's Degrees;2004
Kristan Connelly;  5;131210;Early Childhood Education;Career & Tech Ed;Public Services;Early Childhood Education;Associate Degrees;2004
Estella Feeney DDS;358;190499;Family Resources;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2004
Encarnacion Schmeler;112;540101;History;College of Arts & Sciences;Arts & Humanities;History;Bachelor's Degrees;2004
Amber Steuber-Wehner;359;150699;Applied Trades;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2004
Dr. Barbara Dietrich MD; 46;422806;Educational Psychology;College of Education;Education;Educational Psychology;Doctoral Degrees;2004
Mark Moore;292;513801;Registered Nursing/Reg Nurse;Schl of Nurs & Dental Hygiene;Nursing & Dental Hygiene;Professional Nursing;Doctoral Degrees;2004
Marlo Runte;460;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Master's Degrees;2004
Lamarcus Bechtelar-Sipes;169;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Master's Degrees;2004
Reagan Pouros;351;520799;Entrep & Small Business, Other;Career & Tech Ed;Business Education;Applied Business & Infor Tech;Bachelor's Degrees;2004
Commodore Witting DDS; 49;521201;Business Computer Info Sys;College of Business Admin;Business Administration;Management Information Systems;Bachelor's Degrees;2004
Rutha West; 93;440701;Social Work;School of Social Work;School of Social Work;Social Work;Bachelor's Degrees;2004
Judd Batz;313; 30201;Natural Resource Mgmt & Policy;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Nat Res & Env Mgt;Master's Degrees;2004
Miss Cindy Gorczany;  9;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2004
Marti Gerlach;108;270101;Mathematics, General;College of Arts & Sciences;Natural Sciences;Mathematics;Bachelor's Degrees;2004
Arland Lakin;287;422803;Counseling Psychology;College of Arts & Sciences;Social Sciences;Psychology;Master's Degrees;2004
Arlie Hessel;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2004
Mrs. Antonia Hintz DVM;329;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2004
Brock Collins-Prohaska;396; 50103;Asian Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Asian Studies;Bachelor's Degrees;2004
Sharee Schultz;441;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Certs of Achievement;2004
Dr. Justine Prohaska MD;135;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabricatn &Repair;Associate Degrees;2004
Justin Russel;479;301202;Cultural/Heritage ResourceMgmt;College of Arts & Sciences;Social Sciences;Anthropology;Master's Degrees;2004
Neoma Abbott DDS;430;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Certs of Achievement;2004
Randall Walker-Volkman;337;131401;Eng for Speakers of other Lang;College of Arts & Sciences;Lang, Ling & Lit;Second Lang Studies;Master's Degrees;2004
Rayburn Reichert;198;400607;Oceanography;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Master's Degrees;2004
Renee Jones-Buckridge;412;400601;Geology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Geology;Master's Degrees;2004
Clydie Morissette DVM; 39;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Bachelor's Degrees;2004
Davina Kuphal MD;222;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy Studies;Bachelor's Degrees;2004
Savilla Osinski-Schowalter;383;110802;Data Modeling/Warehousing;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2004
Mallorie Reilly;430;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Certs of Achievement;2004
Ms. Burnice Tremblay;363;110901;Computer Sys Netwrk & Telecom;Career & Tech Ed;Technology;Comp Elec & Net Tech;Other;2004
Jamey Wolf-Stiedemann;427; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Certs of Achievement;2004
Ama Haag;413;240103;Humanities;Humanities Division;Humanities;Literature;Bachelor's Degrees;2004
Joye Volkman;205;440401;Public Administration;College of Arts & Sciences;Social Sciences;Public Admin;Master's Degrees;2004
Zackery Trantow;326;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabrication & Repair;Associate Degrees;2004
Opha Funk;217;150701;Occuptnl Environmtl Safety Mgt;Career & Tech Ed;Public Services;Occupational Envir Safety Mgt;Certs of Achievement;2004
Reyna Hegmann; 81;460000;Construction Trades, General;Career & Tech Ed;Technology;Sustainable Construction Tech;Associate Degrees;2004
Brody Kuhn;495;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Doctoral Degrees;2004
Shameka Bode; 35;470603;Auto Body Repair & Painting;Career & Tech Ed;Technology;Auto Body Repair & Painting;Associate Degrees;2004
Dr. Darcy Bergnaum DVM;427; 30599;Trop Forest Eco Mgmt & Agrofor;Career & Tech Ed;Technology;Trop Forest Ecosys & Agrof Mgt;Certs of Achievement;2004
Billy Strosin-Wehner;454;510801;Medical/Clinical Assistant;Career & Tech Ed;Health Services;Nursing;Certs of Achievement;2004
Almedia Nikolaus-Funk;418;460412;Bldg/Construction SiteMgmt/Mgr;Career & Tech Ed;Technology;Construction Management;Associate Degrees;2004
Andy Anderson;166;450101;Social Sciences;Social Sciences Division;Social Science;Sociology;Bachelor's Degrees;2004
Khalid Feeney-Gutkowski;223; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Associate Degrees;2004
Evelyn Marquardt;115;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2004
Georgie Durgan;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2004
Rayna McDermott; 95;160501;German;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2004
Kiarra Wisoky DDS;257;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Certs of Achievement;2004
Hennie Leffler; 30;520301;Accounting;Career & Tech Ed;Business Education;Accounting;Associate Degrees;2004
Ivette O'Hara;250;160402;Russian;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2004
Dr. Ervin Cremin;113;240101;Liberal Arts;General & Pre-Prof Ed;Liberal Arts;Liberal Arts;Associate Degrees;2004
Ms. Tamiko Emard; 68;430107;Administration of Justice;Career & Tech Ed;Public Services;Administration of Justice;Associate Degrees;2004
Ms. Tricia Grady DDS;488;100304;Animation, Interactive Tech, V;General & Pre-Prof Ed;Humanities;Creative Media;Associate Degrees;2004
Lovell Cole-Orn; 83;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Associate Degrees;2004
Dr. Bascom Renner IV;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2004
Stephania Considine-Runte;406;540101;History;College of Arts & Sciences;Arts & Humanities;History;Doctoral Degrees;2004
Dr. Jermain Renner;201;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Bachelor's Degrees;2004
Lilian Hammes-Schultz;455;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Hospitality and Tourism;Bachelor's Degrees;2004
Mr. Gavyn McDermott;384;513801;Registered Nursing/Reg Nurse;College of Arts & Sciences;Natural Sciences;Nursing;Bachelor's Degrees;2004
Anneliese Schoen;362;510904;Emergency Medical Services Mgt;Career & Tech Ed;Health Services;Mobile Intens Care Technician;Associate Degrees;2004
Mrs. Linda Purdy; 38;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2004
Deonte Kub;211;500301;Dance;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Bachelor's Degrees;2004
Wilkie Miller;423;520799;Entrep & Small Business, Other;Career & Tech Ed;Business Education;Applied Business & Information Tech;Bachelor's Degrees;2004
Jeffery Tromp;364;460000;Construction Trades, General;Career & Tech Ed;Technology;Sustainable Construction Tech;Certs of Achievement;2004
Porsche Bashirian;279;260503;Medical Micro & Bacteriology;School of Medicine;School of Medicine;Biomed Sci (Tropical Medicine);Master's Degrees;2004
Brea Anderson;347;261309;Epidemiology;School of Medicine;School of Medicine;Public Health;Doctoral Degrees;2004
Dillan Hessel;485;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Associate Degrees;2004
Rubi Schinner MD;444;510707;Health Info/Med Records Tech;Career & Tech Ed;Business Education;Health Information Technology;Associate Degrees;2004
Watson Douglas;361; 50102;American Studies;College of Arts & Sciences;Arts & Humanities;American Studies;Doctoral Degrees;2004
Cortez Hudson-Hermiston;107;301901;Food Science & Human Nutrition;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Master's Degrees;2004
Alwin Orn;398;159999;Engineering Technology;Career & Tech Ed;Technology;Engineering Tech;Bachelor's Degrees;2004
Nathalie Brekke MD; 18; 30104;Global Environmental Science;College of Arts & Sciences;Natural Sciences;Trop Conserv Bio & Environ Sci;Master's Degrees;2004
Marcelo Aufderhar; 11;230101;English, General;College of Arts & Sciences;Arts & Humanities;English;Bachelor's Degrees;2004
Miss Genoveva Bode;430;150303;Electronic Technology;Career & Tech Ed;Technology;Electronics Technology;Certs of Achievement;2004
Olympia Wyman;487;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Certs of Achievement;2004
Teela Morar-Murazik;403;240103;Humanities;Humanities Division;Humanities;Philosophy;Bachelor's Degrees;2004
Fairy Batz;495;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Doctoral Degrees;2004
Athena Mraz;431;130501;Educational Tech;College of Education;Education;Learning Design & Technology;Master's Degrees;2004
Levi Upton;261;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Certs of Achievement;2004
Anitra Lind; 29;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2004
Odell Reinger;390;110701;Computer Science;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Doctoral Degrees;2004
Tandy Murray PhD;272;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Certs of Achievement;2004
Dr. Dema Swift;147;260101;Biology/Biological Sci, Gen;College of Arts & Sciences;Natural Sciences;Biology Program;Bachelor's Degrees;2004
Ahmad Farrell; 38;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Master's Degrees;2004
Mrs. Jalynn Bailey;  6; 30103;Environmental Studies;College of Arts & Sciences;Social Sciences;Environmental Studies;Bachelor's Degrees;2004
Millicent Tremblay;475;110801;Digital Media, Web Page Design;Career & Tech Ed;Technology;Digital Media Production;Certs of Achievement;2004
Miss Elease Pollich;138;260702;Entomology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Doctoral Degrees;2004
Cohen Cummerata V;333;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2004
Anastasia Padberg-Eichmann; 43;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Master's Degrees;2004
Dannielle Pacocha;252;512001;Pharmacy;College of Pharmacy;Pharmacy;Pharmacy;Other;2004
Geri Walsh; 76;450901;International Relations;College of Arts & Sciences;Arts & Humanities;China-U.S. Relations;Master's Degrees;2004
Mrs. Phebe Osinski DDS;243;520899;Finance & Financial Mgt Svc;College of Business Admin;Business Administration;Financial Engineering;Master's Degrees;2004
Dr. Delos Olson; 80;480508;Welding;Career & Tech Ed;Technology;Mach, Weld & Ind Mech Tech;Certs of Achievement;2004
Dr. Deon Gibson Sr.; 95;160501;German;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Bachelor's Degrees;2004
Mrs. Maritza Kunde;393; 11199;Plant & Environmental Biotech;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Environmental Biotech;Bachelor's Degrees;2004
Bertha Abernathy DDS; 54;250101;Library Studies;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2004
Mrs. Aliza Stoltenberg;360;490102;Aviation;Career & Tech Ed;Technology;Commercial Aviation;Associate Degrees;2004
Corrine McGlynn;359;150699;Applied Trades;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2004
Mat Prosacco;485;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Associate Degrees;2004
Che D'Amore;149;420101;Psychology, General;College of Arts & Sciences;Social Sciences;Psychology;Bachelor's Degrees;2004
Elfie Dickens;490;512010;Pharmaceutical Sciences;College of Pharmacy;Pharmacy;Pharmaceutical Sciences;Doctoral Degrees;2004
Miss Belinda Crooks DDS;128;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Master's Degrees;2004
Twila Christiansen;402;260102;Biomedical Science;School of Medicine;School of Medicine;Biomedical Sciences;Doctoral Degrees;2004
Dr. Joline Larkin DVM;376;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Bachelor's Degrees;2004
Myrta Doyle-Doyle; 36;260406;Cell/Cellular & Molecular Biol;School of Medicine;School of Medicine;Cell & Molecular Biology;Doctoral Degrees;2004
Kevan Gerlach;477;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Bachelor's Degrees;2004
Mr. Almon Tillman IV; 26;131210;Early Childhood Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2004
Gusta Lueilwitz; 11;230101;English, General;College of Arts & Sciences;Arts & Humanities;English;Bachelor's Degrees;2004
Mariel Runolfsdottir;242;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Leisure Sci;Master's Degrees;2004
Kinsey Schmitt MD;  9;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2004
Xiomara Koepp;420;110101;Computer/Info Science, General;Career & Tech Ed;Business Education;Information& Computer Sciences;Associate Degrees;2004
Dayle Lebsack;232;380201;Religion;College of Arts & Sciences;Arts & Humanities;Religion;Master's Degrees;2004
Bettie Wuckert;332; 50109;Pacific Islands Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Pacific Studies;Bachelor's Degrees;2004
Ms. Breonna Wisoky;253;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics;Bachelor's Degrees;2004
Miss Nia Pfannerstill; 66;521001;Human Resource Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2004
Quintin Wolff;143;120500;Food Service;Career & Tech Ed;Food Services;Food Service;Associate Degrees;2004
Jacques Luettgen;324;520301;Accounting;College of Business Admin;Business Administration;School of Accountancy;Master's Degrees;2004
Clemon Cormier DVM;102;160302;Japanese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2004
Jamir Morissette; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2004
Gustav Weimann;477;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Bachelor's Degrees;2004
Hetty Jaskolski;162;301801;Natural Science;General & Pre-Prof Ed;Natural Sciences;Natural Science;Associate Degrees;2004
Genoveva Murphy;258;120500;Food Service;Career & Tech Ed;Food Services;Food Service - Culinary Arts;Certs of Achievement;2004
Abie Altenwerth;391;400801;Physics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Bachelor's Degrees;2004
Melany Welch-Gusikowski;446;310501;Health & Physcial Education;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2004
Dimitrios Crist-Kreiger;417;520301;Accounting;Col of Business & Economics;Business & Economics;Accounting;Bachelor's Degrees;2004
Jami Zulauf MD; 52;500901;Music, General;College of Arts & Sciences;Arts & Humanities;Performing Arts;Bachelor's Degrees;2004
Dr. Shaquille Deckow;197;440401;Public Administration;Professional Studies Division;Public Administration;General Public Administration;Bachelor's Degrees;2004
Maury Cassin V;195;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Bachelor's Degrees;2004
Mr. Johnny Block V;486;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Bachelor's Degrees;2004
Margy Becker;487;460415;Construction Technology;Career & Tech Ed;Technology;Construction Technology;Certs of Achievement;2004
Affie Schaefer;385;110101;Computer/Info Science, General;College of Arts & Sciences;Natural Sciences;Information & Comp Sci;Master's Degrees;2004
Hebert Lynch-Haag; 83;430203;Fire & Environtl Emerg Resp;Career & Tech Ed;Public Services;Fire Science;Associate Degrees;2004
Ms. Kathaleen Ankunding;219;440000;Adult Services;Career & Tech Ed;Public Services;Human Services;Associate Degrees;2004
Dempsey Hyatt; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2004
Minta Cormier-Torp;415;110101;Computer/Info Science, General;Career & Tech Ed;Business Education;Information & Computer Science;Certs of Achievement;2004
Mitch Reinger;437;131299;Teacher Education;College of Arts & Sciences;Social Sciences;Education;Master's Degrees;2004
Mr. Murry Dickinson;349;520201;Business Admin & Mgmt, General;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2004
Mrs. Shavonne Goldner;236;160905;Spanish;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Master's Degrees;2004
Bunk Legros;135;470616;Boat Maintenance & Repair;Career & Tech Ed;Technology;Small Vessel Fabricatn &Repair;Associate Degrees;2004
Patricia Hahn;316;520101;General Business;Career & Tech Ed;Business Education;Business Careers;Certs of Achievement;2004
Jesica Dickinson MD;293;161001;Am Ind/Nat Am Lang Lit Ling;Ka Haka Ula O Keelikolani;Hawaiian Lang & Lit;Indigenous Lang & Culture Educ;Master's Degrees;2004
Evalena Turner; 61;131205;Secondary Education;College of Education;Education;Inst for Teacher Ed;Other;2004
Conor Vandervort;489;520201;Business Admin & Mgmt, General;College of Business Admin;Business Administration;Business Administration;Doctoral Degrees;2004
Elisha Metz;396; 50103;Asian Studies;Schl of Pacific & Asian Studies;Pacific & Asian Studies;Asian Studies;Bachelor's Degrees;2004
Esta Abernathy;448;130501;Educational Tech;College of Education;Education;Learning Design & Technology;Doctoral Degrees;2004
Brianda Hickle;277;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;General Business Admin;Bachelor's Degrees;2004
Maximo Weissnat V;128;520903;Travel Industry Management;School of Travel Industry Mgt;Travel Industry Management;Travel Industry Management;Master's Degrees;2004
Lenny Kuphal;343;510204;Speech Pathology & Audiology;School of Medicine;School of Medicine;Speech Pathology & Audiology;Master's Degrees;2004
Olar Kessler;133; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Certs of Achievement;2004
Rogelio Mills; 87;260905;Biomed Sci (Reproductive Biol);School of Medicine;School of Medicine;Developmental & Reprod Biology;Master's Degrees;2004
Yoselin Maggio;343;510204;Speech Pathology & Audiology;School of Medicine;School of Medicine;Speech Pathology & Audiology;Master's Degrees;2004
Mr. Jamil Hamill;145; 30104;Global Environmental Science;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Bachelor's Degrees;2004
Belle Prosacco;240;169999;Foreign Languages & Lit, Oth;Hawai`inuiakea Sch Hawn Knowledge;Hawaiian Language;Hawaiian;Master's Degrees;2004
Miss Emmalee Lind MD;429;261201;Biotechnology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Bachelor's Degrees;2004
Mr. Marty Kunze;492;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Business Administration;Bachelor's Degrees;2004
Alvera Lang;198;400607;Oceanography;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Oceanography;Master's Degrees;2004
Luda Block PhD;281;131202;Elementary Education;College of Education;Education;Inst for Teacher Ed;Bachelor's Degrees;2004
Dr. Franco Ziemann;219;440000;Adult Services;Career & Tech Ed;Public Services;Human Services;Associate Degrees;2004
Miss Machelle Miller MD;458;470617;High Perfrm&Cstm EngTech/Mech;Career & Tech Ed;Technology;Automotive Tech;Associate Degrees;2004
Mr. Gilmore Ankunding;361; 50102;American Studies;College of Arts & Sciences;Arts & Humanities;American Studies;Doctoral Degrees;2004
Aydan Gottlieb; 78;110103;Information Technology;Career & Tech Ed;Business Education;Information Tech;Associate Degrees;2004
Christene Kautzer;181;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Finance;Bachelor's Degrees;2004
